label_id,label_name
0,Game
1,Video game
2,Vehicle
3,Concert
4,Musician
5,Cartoon
6,Performance art
7,Car
8,Dance
9,Guitar
10,String instrument
11,Food
12,Association football
13,Musical ensemble
14,Music video
15,Animal
16,Animation
17,Motorsport
18,Pet
19,Racing
20,Recipe
21,Mobile phone
22,Cooking
23,Smartphone
24,Gadget
25,Trailer (promotion)
26,Toy
27,Minecraft
28,Drum kit
29,Cuisine
31,Piano
30,Motorcycle
32,Dish (food)
33,Drum
34,Acoustic guitar
35,Action-adventure game
36,Call of Duty
37,Electric guitar
38,Drummer
39,Cosmetics
40,Keyboard instrument
41,Choir
42,Strategy video game
43,Fishing
44,Aircraft
45,Train
46,Airplane
47,Pianist
48,Sports car
49,Art
50,Hair
51,Rail transport
53,Cycling
54,Orchestra
52,Basketball
56,Transport
57,Musical keyboard
55,Motorcycling
58,Bicycle
59,Fish
60,Outdoor recreation
62,Machine
61,Disc jockey
63,Sports game
64,Radio-controlled model
65,Hairstyle
66,Fashion
67,Dog
68,Skateboarding
69,Fighting game
70,Basketball moves
73,IPhone
71,Wedding
72,Skateboard
74,Personal computer
75,Truck
76,Boat
77,Railroad car
78,Snare drum
79,American football
80,Drawing
81,Pokémon
82,Winter sport
83,Tractor
85,Grand Theft Auto V
84,Naruto
86,Cymbal
87,Horse
90,Engine
88,House
89,Festival
91,Highlight film
92,Boxing
93,World of Warcraft
94,Call of Duty: Black Ops II
95,Four-wheel drive
96,Bird
97,Violin
100,Weight training
98,Skateboarding trick
101,Recreational fishing
99,Christmas
102,Warcraft
103,Ice skating
104,Driving
105,Video game console
107,Airline
106,Microsoft Windows
109,Landing
108,Pokémon (video game series)
111,League of Legends
110,Combat
114,Airliner
113,Model aircraft
112,Vegetable
115,Samsung Galaxy
117,Electronic keyboard
116,Sport utility vehicle
118,Hockey
119,Radio-controlled aircraft
120,
121,Eye shadow
123,Dessert
122,Cooking show
124,Battlefield (series)
126,Plant
125,Slam dunk
127,Painting
131,Tablet computer
132,Call of Duty: Modern Warfare 2
128,Drifting (motorsport)
129,Rallying
130,Lego
134,Grand Theft Auto: San Andreas
133,Comedy (drama)
135,Off-road vehicle
137,Locomotive
136,The Walt Disney Company
138,Takeoff
141,Amusement park
140,Puppy
139,RuneScape
142,Call of Duty: Modern Warfare 3
143,Motocross
145,Airport
144,Dragon Ball
146,Photography
147,Call of Duty: Black Ops
148,Shoe
149,Radio-controlled car
152,Bride
150,Sonic the Hedgehog
151,Skatepark
154,Accordion
156,Mascara
155,Jet aircraft
153,First-person shooter
157,Halo (series)
158,Camera
160,Skiing
161,Gym
159,Final Fantasy
162,Aviation
164,Marching band
163,Mountain bike
165,
168,Brass instrument
166,Extreme sport
167,FIFA 15
169,Sasuke Uchiha
170,Cat
172,Pickup truck
171,Sedan (automobile)
173,Meat
174,BMW
175,Parade
177,Supercar
176,Cake
178,Aquarium
181,Nail (anatomy)
179,Weather
180,Weapon
182,Surfing
184,Room
183,PlayStation 3
185,Call of Duty 4: Modern Warfare
186,Helicopter
188,Saxophone
187,Laptop
189,Star Wars
192,Xbox 360
191,Hotel
193,Arcade game
190,Goku
194,Doll
195,News presenter
197,Volkswagen
196,Exhaust system
198,Hatchback
201,Carnival
202,Lipstick
203,Wii
200,Computer
199,Action figure
205,School
204,Sonic the Hedgehog (character)
209,IPad
207,Eye liner
206,Ballet
208,Heavy equipment
210,Running
211,Baking
212,Rapid transit
213,Coupé
214,Road bicycle
216,Nail polish
215,Card game
220,Gardening
218,Bus
222,Nail art
221,Outline of meals
217,Playing card
219,Counter-Strike (video game)
226,Tennis
223,Tank
230,Grand Theft Auto IV
227,Ship
224,
225,Bollywood
228,BMX bike
231,Snowboarding
232,Mountain biking
229,Drink
233,Rouge (cosmetics)
235,
236,Street Fighter
234,Super Smash Bros.
238,Underwater
242,The Sims
237,Stadium
247,
244,Pony
240,Kickflip
241,Metin2
243,Viola
249,Manicure
246,Television
248,Beach
239,Hunting
252,Snow
250,Chocolate
245,PlayStation 4
254,
255,Roller coaster
251,Wood
253,Sneakers
257,Timbales
256,Afro-textured hair
258,Need for Speed
261,Gymnastics
260,Paper
259,Robot
263,Diatonic button accordion
262,Farm
266,Mercedes-Benz
264,Fighter aircraft
267,Chevrolet
265,Sketch (drawing)
270,Tool
268,Batman
269,Loudspeaker
271,"Nike, Inc."
276,Garden
273,Ski
277,Paint
274,Underwater diving
275,Computer hardware
272,Race track
278,Cello
279,Digital camera
281,Motorboat
280,Scooter (motorcycle)
282,Harry Potter
285,Assassin's Creed
283,
284,GoPro
287,Battlefield 3
286,Fishing rod
288,IPod
290,Dota 2
289,Nature
291,Tree
292,My Little Pony
295,Train station
294,Xbox One
293,Dress
297,Jeep
296,Firefighter
300,Flute
298,Rail transport modelling
299,Resort
303,Chicken as food
302,Fruit
304,Knife
305,Dashcam
308,Slide show
313,Building
309,The Legend of Zelda
307,Kitchen
301,Touhou Project
311,Swimming pool
310,Fireworks
312,Rugby football
306,Clash of Clans
316,
314,Kitten
315,Television advertisement
317,Battlefield 4
318,Horse racing
320,Subwoofer
321,Flour
322,IPod Touch
319,MapleStory
323,World of Tanks
324,Music festival
